review_text,rating,review_date
nothing when i need to install the apk it say that re-up date,5,2025-07-25
i can log in from any where,5,2025-07-23
😇,3,2025-07-21
no proplem,5,2025-07-20
👍👍👍,5,2025-07-20
excellent app,5,2025-07-18
good work,5,2025-07-15
☹️,5,2025-07-15
excellent,5,2025-07-14
great boa,5,2025-07-14
good,5,2025-07-14
okay,4,2025-07-13
not working,1,2025-07-12
this app is getting worse and worse with every update,2,2025-07-11
ምርጥ ነው,1,2025-07-10
nice,5,2025-07-10
meku,5,2025-07-07
awasome app go a head,5,2025-07-04
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03
"the app is nice and easy to use but after some time it crushed and said ""error check your device connectivity"" please fix it",3,2025-07-02
easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01
wow,5,2025-07-01
"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27
amazing banks app👌👌,3,2025-06-25
good app fore me,5,2025-06-25
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24
fantastic,5,2025-06-22
👍,4,2025-06-21
it's nice to use.,5,2025-06-21
app doesn't start,1,2025-06-21
excellent application,5,2025-06-18
its very bad app its very slow,1,2025-06-17
ብዙዬ ሺዋየ በለጠ,1,2025-06-15
good job!,5,2025-06-13
best financial app.,5,2025-06-12
ቆንጆ ነው በርቱ,5,2025-06-11
the worst app humans ever created,1,2025-06-09
it's not working,3,2025-06-05
"hello, i’m facing a problem with the boa mobile app. every time i enter my phone number and password, the app crashes and shows an error that says “boamobile closed because this app has a bug.” i tried updating, reinstalling, and clearing cache, but nothing worked. please fix this bug in the next update. i really need access to my account. thank you.",1,2025-06-03
exceptional,5,2025-06-03
boa mobile good bank,5,2025-06-02
this is worest app 24/7 loading,1,2025-06-01
boa system is confartable,5,2025-06-01
"this app, for me , is a waste of time. it doesn't work . i can't even long in, and it really piss me off. fix the problem",1,2025-05-27
good service.,3,2025-05-25
the app crush frequently,1,2025-05-24
you guys keeps getting worst,1,2025-05-22
"this app is a joke. it crashes more than it works, takes forever to load, and half the features are just decorative at this point. can’t log in, can’t transfer money, can’t even check my balance without it bugging out. to the developer: are you actually trying to make this work, or is this some kind of social experiment to test our patience? did you build this in your sleep? because it definitely looks like it. if this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21
boa,2,2025-05-20
but not opening on android,4,2025-05-19
worst app ever. totally unreliable. and it didn't work at all for the last 4 months.,1,2025-05-18
amazing,5,2025-05-18
"this app does no work on samsung a51, it just gives a preview of the logo",1,2025-05-11
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10
liking this application good 👍,5,2025-05-07
"this app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and otp sent not work",1,2025-05-06
it's really good 👍,5,2025-04-23
bad app . it stuck when you open and noting works.,1,2025-04-23
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20
best,2,2025-04-19
it keeps showing this pop up to turn off developer options even tho it's off! i had to turn on and then off to make it work! this is a horrible experience and needs a fix asap! plus kinda slow.,1,2025-04-19
yideg,1,2025-04-18
great boa,5,2025-04-10
boa of mobile backing,5,2025-04-09
faster bank of abissinya,5,2025-04-08
